,text,label_f,label_h,label_s
2745,sir  lovehate relationship ke bare mein aap ka kya vichar hai pictwittercom kqpgaf,1,0,0
2773,same here he is the reason to watch bb but i cant hate him because ladai unhi se karte hain jinki baaton ka humein asar ho and he is not opportunist aisa hota toh woh hamesa vikas ko hi follow karta apna stand nahi leta vikas kaisa dost hai dost bolta hai aur bracelet bhi toda,0,0,0
959,bhai koi iska rape kar doog main bahut khujli ho rahi hai https  twittercom rishibagree status ,0,0,0
955,buuma raviisha baata karaka pata laga aisa apiila naha,1,0,0
4036,gajar mein vitamin c hoty hain jis sey aakhon ki roshni bharti hai aur khoon  blood  saaf hota hai,1,0,0
2067,bhai ap boht ache hn allah ap khush rkhe,0,0,0
186,ta sektara bhaarata jiidiipa  pratishata yogadaana de koro mahaamaara sektara bura haala diya,0,0,0
721,paakistaa saamsada ayaaja saadika daava kiya videsha mamtra shaaha mahamuuda kauraisha kaha vimga kamaamdara abhinamdana riha naha kiya bhaarata raata nau baja hamala dega,0,0,1
1613,mujhe to pata hi nahi raha bat ho bhi rahi hai sorry jaa rahi hu bye,1,0,1
2227,bhai work hai kyahume bhi hai thodi der baad but plzz tution jana hai ,1,0,1
2531,bhai shahid ki bhi shadi ho gai aap kab kar rahe ho,0,0,1
1781,simple haikoi apna ghar redlight area mein banaega  khud racket chalaega tho rape hi tho dikhega na  dhandha badaldo sabh theek hojayega,1,0,0
4316,bani was bang on jitna apne mujhe hate kitna uuse do guna teen guna india ne mujhe pyaar dia we are here for you i stand by bani,1,0,0
304,uttaraakhamda raajaniita najara rakha vaala jaanakaara maana aama aadama paarta ke aana raajaniita ke samiikarana badala saka,0,0,0
1119,kya ye dawat garib or yateemo k liye bhi hai,1,0,1
1163,buuma enadiitiiva ke varishtha patrakaara raviisha kumaara baata daava sira nakaara diya,1,0,0
3384,ap kalbhushan yadev jaisun ka na bhaijain terrorism khud ba khud khatm o jaey ga,0,0,1
836,buuma paaya asala viidiya liibiya ke samudra tata ke paasa  haadasa maara loga dikha naa,1,0,0
850,bhaarata koro tiika kaisa laga jaaega isaka baara sarakaara dishaanirdesha jaara die,0,0,0
4008, chintskap pakistan ka ahsan hai indian par tumhain khairat main jeet dete hain hum or terrorism ka sab se bada supporter khud india hai,0,0,0
4576,tum log terrorism ko support karna band kardo sabh theekh hojaega,1,0,1
775,hahaha nikal report   madar cbod apni reports bhi nikal le pakistani kide sirf india ka rape issue aur tatti dikhti hai iske alawa tum gandui aur kisi layak nahi,0,0,0
2525,baat kidhr hogi,1,0,1
2374,sallluuuuuuuuuuu aa bhi jao  ,1,0,1
1027,ashu sing tumhari saat howa hoga tum logo ka mandira mai haaaaaaaaa,1,0,1
3026,salman bhai aap meri coments path te he,1,0,0
33,krisamasa ke agala dina naama bksimga de kya rakha gaya kya isaka mukkebaaja lenaade,0,0,0
2551,ye daleep thakur jaise vo congressi hain ye vo politician hain ye vo secular type insaan hai jo rape k upar bhi raajneeti karte hain ye aisi baaten karke rape ki aad may film release karvaana chahte hain inhe saram nahi aati bilkul,0,1,0
2637,vikas hate hina,1,0,0
963,puurva pradhaanamamtra manamohana simha samarpita anaupachaarika phesabuka phaina peja shanivaara pradhaanamamtra naremdra moda,1,0,0
510,graaumda riporta ke maadhyama buuma vaayarala viidiya satyaapana kiya tathya saama aaya lamba kataara sharaaba,1,0,1
2373,panel main vikas gupta ko napasand krti thi lekin ab nafrat krti hui hate him or  tentej looser sb kuch jante hue v shilpa ko blame kr rha hvikas ka chamcha,0,1,0
1774,tm ho koun asaduddin owaisi sahab ne tmhri aukat dikha di abhi b tmko samjh nhi aaya,0,0,0
3551,stop indian terrorism in kashmir lagata hai baap baita donu ko aaj kal kaam nahi mil raha,0,0,0
3238,izzat se yaad  ap ke ghar ki maa behn ki izzat bachi hoi hay yah wo kia hay na aj kal endia main rape kuch ziada hi ho rahy hain,1,0,1
1158,buuma paaya vimga kamaamdara abhinamdana ke naama aila raha kvota nakala,1,0,0
333,ek gang ke crime se terrorism prove nahi hota  agar hota to un ne ban lagaya hota,0,0,1
790,kyu bahot se pakistani aur indian ek dusre nafrat karte hai  so much hate on my tl  koi answer do,1,1,0
3995,yes aur jo hate use mili wo usne khud hi bulaayi thi bayaan de kar,1,0,1
389,aadarniy pm ji aapke pas feuchar plan bahuthi aachha hai aapko salam,1,0,0
3161,sorry year sara then salman khan kiy sathe mere thenb barbat  ,1,0,0
1091,bikram singh indian army chief  hum pakistanio ka khoon bhahye gy tu eh pak army ko nuqsan hoga  #lannat #intelligenceatbest #charsadda,0,0,0
1385,adhikaara kaha vaiksiina ke pahala tiisa laakha doja jalda saara raajya pahumcha die,0,0,0
2837,sabhi cheezo me hum log tumse age hesirf ek cheez jo tumhe world famous karwa raha he wo he terrorism,1,1,0
262,jabtak surj chand rhega tabtak modi ji sarkar rhega jay hind,0,0,0
1941, mins leftwaiting bhai,1,0,1
2371,are yaar bhai se baat hogi ya nhu,1,0,1
1862,killers ko saza zaror mily gi,0,0,1
3872,bhai meri sim docomo hai maine bht try kiya ny ho raha hai,1,0,1
1552,buuma paaya viidiya maujuuda vyakta mumbaii pulisa kamishnara naha balka bhaaratiiya sashastra bala ke sevaanivritta,1,0,0
3358,paray likhay hoaaj take samaj na payaa kon terrorism ko peda kr raha havo tu katputli ha jo hadee de ga osse ka kutta,1,0,0
3871,yeh rape wali story bahut purani hai koi nai baat kar,0,0,0
3582,janno ki jaan bajrangi bhaijaaan,0,0,0
478,jis tarha quaideazam par  larrki nay jhota rape ka case banaya tha train mainaj ausi darmay ko colourful adakaron pe shoot keya gaya,1,0,0
270,kyo pade ho chakar me koi nahi hai takar me modi is best pm ,1,0,0
1248,bhai ap muslim bina kesi hit karoge ye films ,1,0,0
853,salman ki diwaniya muj se ek baar chat krlo plzz,1,0,1
2236,kohli out hojao abd alone is enough to score  chal bhag birat chutiya hate u #rcbvsmi,1,1,0
716,news reporter valo ko baat karna nhi ata jab bhi vo honest prime minister shree narendra modiji ke baare me baat karte hai to vo log sirf modi kahke baat karte hai i hate this type log khaskar aajtak vale,0,1,0
4552,bhensa ko van karna chye tha   us or awaz uthanay wlay ko ban kr diya   hate speech  tou bhensa kr rha hai  #pemra,1,1,1
1324,only one hero jo sab ke dil me rahate h wo h salman bhai bajrangi bhaijaan unko dekh kar hi sabki dharkan chalne lagti h i love salman bhai,1,0,0
3693,apki movie ka trailer share karne me darr lagta he aajkal log dekhne ke bad esa esa sunate he na khoon ke aasu rota hai dil halfgirlfrnd,1,0,0
1720,ok come inlekin kese salman bhaimajak nhi kar rahe,1,0,0
3562,good morening salaman bhai,1,0,1
3580,musalmano plz open ur eyes salman khan only naphrat ke layak hai,1,0,0
3833,aur  ka stats dekhna tum saalon  pta chalega kaun kittey gddhey mein hai,1,1,0
1905,jarma  disambara  janavara lkadaauna hoga jarmana chaamsalara kaha phaaurana kaarrava jaruurata,0,0,0
2737,hlo salman sir mai aur mere mammi papa apke bhut bde fan h,1,0,1
473,guest house me rape ho kr qatal hui hn,1,0,0
1010,#corruptsystem jaan kisi bacche ki jaayee ya rape income ke naam se desh mein crime kaun chala raha hai,0,0,0
21,daava kiya raha tasviira pradarshana raha kisaana bhagavaana raama ke virodha bainara le chala raha,1,0,0
3009,hum aapko ek jhalk dekhne ke liy a tarap rahe hai,1,0,0
3142,bhai ap sapna kyu dekhate ho bhai bus apke fan h hum,0,0,1
3952,chapoor sahab hum terrorists nh hain or nahy kisi ko taqlif pohchate hain hum local log hain or rhi bat terrorism ki toh ap achy se jante ho,0,0,0
4372, hmsaeedofficial  defencepk  aamirliaquat  tarekfatah or ek pakistani ye bol raha hai terrorism humare yaha nahi hota,1,0,0
1189,hitler ka phone  lakh  hazar dollar me farokht,1,0,0
2704,roza ka time bhi hora,1,0,1
